ranking,title,location,continent
172,University of Notre Dame,United States,America
173,Sant’Anna School of Advanced Studies – Pisa,Italy,Europe
174,University of Exeter,United Kingdom,Europe
175,Lomonosov Moscow State University,Russian Federation,Asia
176,Northeastern University,United States,America
177,Ulsan National Institute of Science and Technology (UNIST),South Korea,Asia
178,University of Aberdeen,United Kingdom,Europe
179,Newcastle University,United Kingdom,Europe
180,Paris-Saclay University,France,Europe
181,Scuola Normale Superiore di Pisa,Italy,Europe
182,Autonomous University of Barcelona,Spain,Europe
183,Stockholm University,Sweden,Europe
184,Arizona State University (Tempe),United States,America
185,University of Canberra,Australia,Oceania
186,Queensland University of Technology,Australia,Oceania
187,Eindhoven University of Technology,Netherlands,Europe
188,George Washington University,United States,America
189,Technical University of Denmark,Denmark,Europe
190,Yonsei University (Seoul campus),South Korea,Asia
191,Cardiff University,United Kingdom,Europe
192,University of Gothenburg,Sweden,Europe
193,University of Lausanne,Switzerland,Europe
194,Tel Aviv University,Israel,Asia
195,Macquarie University,Australia,Oceania
196,University of Münster,Germany,Europe
197,Texas A&M University,United States,America
198,University of Barcelona,Spain,Europe
199,University of Erlangen-Nuremberg,Germany,Europe
200,University of Calgary,Canada,America
201,University of East Anglia,United Kingdom,Europe
202,Queen’s University Belfast,United Kingdom,Europe
203,Aalborg University,Denmark,Europe
204,Aalto University,Finland,Europe
205,University of Bath,United Kingdom,Europe
206,University of Bergen,Norway,Europe
207,Brandeis University,United States,America
208,"University of California, Santa Cruz",United States,America
209,Chalmers University of Technology,Sweden,Europe
210,Copenhagen Business School,Denmark,Europe
211,Curtin University,Australia,Oceania
212,University of Duisburg-Essen,Germany,Europe
213,University of Dundee,United Kingdom,Europe
214,Griffith University,Australia,Oceania
215,University of Hawai’i at Mānoa,United States,America
216,Hebrew University of Jerusalem,Israel,Asia
217,University of Hohenheim,Germany,Europe
218,Howard University,United States,America
219,University of Iowa,United States,America
220,James Cook University,Australia,Oceania
221,Karlsruhe Institute of Technology,Germany,Europe
222,King Abdulaziz University,Saudi Arabia,Asia
223,KTH Royal Institute of Technology,Sweden,Europe
224,La Trobe University,Australia,Oceania
225,Université Libre de Bruxelles,Belgium,Europe
226,University of Luxembourg,Luxembourg,Europe
227,University of Massachusetts,United States,America
228,Medical University of Graz,Austria,Europe
229,Medical University of Innsbruck,Austria,Europe
230,Medical University of Vienna,Austria,Europe
231,University of Miami,United States,America
232,Moscow Institute of Physics and Technology (MIPT),Russian Federation,Asia
233,University of Otago,New Zealand,Oceania
234,RCSI University of Medicine and Health Sciences,Ireland,Europe
235,University of Reading,United Kingdom,Europe
236,"St George’s, University of London",United Kingdom,Europe
237,University of São Paulo,Brazil,America
238,Sapienza University of Rome,Italy,Europe
239,University of South Florida (Tampa),United States,America
240,University of St Andrews,United Kingdom,Europe
241,Télécom Paris,France,Europe
242,Tilburg University,Netherlands,Europe
243,Tohoku University,Japan,Asia
244,University of Twente,Netherlands,Europe
245,University of Utah,United States,America
246,Virginia Polytechnic Institute and State University,United States,America
247,University of Waterloo,Canada,America
248,Western University,Canada,America
249,University of the Witwatersrand,South Africa,Africa
250,University of Wollongong,Australia,Oceania
251,Alfaisal University,Saudi Arabia,Asia
252,Auckland University of Technology,New Zealand,Oceania
253,Australian Catholic University,Australia,Oceania
254,Brighton and Sussex Medical School,United Kingdom,Europe
255,University at Buffalo,United States,America
256,"University of California, Riverside",United States,America
257,University of Cincinnati,United States,America
258,Dalhousie University,Canada,America
259,Deakin University,Australia,Oceania
260,École des Ponts ParisTech,France,Europe
261,École Normale Supérieure de Lyon,France,Europe
262,Flinders University,Australia,Oceania
263,Florida State University,United States,America
264,Friedrich Schiller University Jena,Germany,Europe
265,George Mason University,United States,America
266,Goethe University Frankfurt,Germany,Europe
267,HSE University,Russian Federation,Asia
268,University of Illinois at Chicago,United States,America
269,Jacobs University,Germany,Europe
270,University of Kiel,Germany,Europe
271,University of Konstanz,Germany,Europe
272,Kyung Hee University,South Korea,Asia
273,Université Laval,Canada,America
274,Macau University of Science and Technology,Macao,Asia
275,University of Navarra,Spain,Europe
276,University of Newcastle,Australia,Oceania
277,University of New Mexico (Main campus),United States,America
278,Nova Southeastern University,United States,America
279,Oregon Health and Science University,United States,America
280,University of Padua,Italy,Europe
281,University of Potsdam,Germany,Europe
282,Queen’s University,Canada,America
283,Ruhr University Bochum,Germany,Europe
284,Simon Fraser University,Canada,America
285,University of Southern Denmark,Denmark,Europe
286,Southern University of Science and Technology (SUSTech),China,Asia
287,State University of New York Albany,United States,America
288,Stellenbosch University,South Africa,Africa
